	Crosshead,	Load,	Time,	Video,	Axial,	Traverse
	0,00139317103275971,	-0,295576873779297,	0,0480000004172325,	2,99979996681213,	-3,58629004040267E-05,	-5,37371988684754E-06
	0,00288705314233084,	-0,134335403442383,	0,068000003695488,	2,99979996681213,	-3,58629004040267E-05,	-5,37371988684754E-06
	0,00453200254924013,	0,059953296661377,	0,0879999995231628,	2,99979996681213,	-3,58629004040267E-05,	-5,37371988684754E-06
	0,00622730658506043,	0,250983657836914,	0,108000002801418,	3,05850005149841,	-2,86686008621473E-05,	-3,00983992929105E-06
	0,00787225508247502,	0,436351501464844,	0,128000006079674,	3,05850005149841,	-2,86686008621473E-05,	-3,00983992929105E-06
	0,00951720539887901,	0,612869018554688,	0,148000001907349,	3,05850005149841,	-2,86686008621473E-05,	-3,00983992929105E-06
	0,0111789386210148,	0,794650268554688,	0,167999997735024,	3,05850005149841,	-2,86686008621473E-05,	-3,00983992929105E-06
	0,0128238871184294,	0,960879150390625,	0,187999993562698,	3,11730003356934,	-3,29293993672763E-06,	-9,63050979407853E-07
	0,0144856221595546,	1,1369560546875,	0,208000004291534,	3,11730003356934,	-3,29293993672763E-06,	-9,63050979407853E-07
	0,016180927559617,	1,30724633789062,	0,228000000119209,	3,11730003356934,	-3,29293993672763E-06,	-9,63050979407853E-07
	0,0179098005901324,	1,48464318847656,	0,247999995946884,	3,23499989509583,	1,34639003590564E-05,	-2,13596990761289E-06
	0,0195715347217629,	1,65650451660156,	0,26800000667572,	3,23499989509583,	1,34639003590564E-05,	-2,13596990761289E-06
	0,021182913769735,	1,81949865722656,	0,287999987602234,	3,23499989509583,	1,34639003590564E-05,	-2,13596990761289E-06
	0,0228278622671496,	1,98342211914062,	0,30799999833107,	3,23499989509583,	1,34639003590564E-05,	-2,13596990761289E-06
	0,024523167667212,	2,14114013671875,	0,328000009059906,	3,29380011558533,	4,23427991336212E-05,	-8,44499027152779E-06
	0,026201685614069,	2,3076318359375,	0,34799998998642,	3,29380011558533,	4,23427991336212E-05,	-8,44499027152779E-06
	0,0279137748293579,	2,47652172851563,	0,368000000715256,	3,29380011558533,	4,23427991336212E-05,	-8,44499027152779E-06
	0,0296426514978521,	2,64728833007812,	0,388000011444092,	3,35260009765625,	5,46201008546632E-05,	-5,80223013457726E-06
